"title","content","date","variant","images","verified","author","rating","product","url"
"Brilliant Phone Holder !","I’ve got an iPhone X and destroyed 2 expensive GEAR4 silicone cases trying to stretch the previous phone holder cradle mechanism to hold the phone in. This does away with all that fiddling about. I’ve not even bothered to stick the magnet onto the back of my phone in case it got scratched if I ever wanted to prise it off. I’ve just slipped the magnet into the back of the case, positioned it  around the middle of the case and it sticks fine to the magnet on the air vent.","02 Oct 2019","Colour Name: Black","","Yes","FC","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Does a good job of holding the phone in place!","It's quite convenient and easy to use. It comes with 2x metal plates that you need to stick to the phone - First you apply a round plastic film to the back of the phone and then the metal plate sticks to that. This meta plate is then what the magnet attracts. The suction is excellent although if you have a thick case (I have an UAG one) it will not be as good so you may want to stick the metal plate in the case instead. The magnet then clips on the aircon grill. One thing I found a bit annoying is that the little tab to direct the airflow on the aircon grill can get in the way of placing the magnet but this is quite minor. Good product overall.","11 Jun 2020","Colour Name: Black","","Yes","Bosco FA","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great product","This is a fab wee product. So easy to install and voila, you have a phone holder in your car. This might be crazy, yet I’d survived all this time without ever having one, yet also never knowing where my phone had relocated to to around the gear stick/bit beside what was an ashtray once upon a time. If you have a phone cover you can bypass the sticking in magnetic to your phone, as the magnet can just fit in between phone and cover. Clever, simple, strong and effective.","07 Jan 2020","Colour Name: Black","","Yes","Mr Keith Dyer","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Simple and effective","I wasn't sure this would work for my heavy iPhone7 plus with case but given the price I bought one for my partner and sneaked an extra one on the order for myself just to try out. It works like a charm for both of us! I use this mount exclusively now. We've found its important to shut off the vent to avoid phone getting too hot but both in a 2002 corsa and a 2010 audi a3, this device fits closed vents. The metallic plate that sticks to the phone is unobtrusive and it's stuck on via an intermediate circular  plastic sheet that protects the phone from scratches. You get one spare sheet+plate too.","15 Dec 2017","Colour Name: Black","","Yes","Joss Smith","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Does What It Says","I used the device to good effect on my last phone.  I've just upgraded and I intend to sell my old phone.  I don't need this any more as I have satnav and Bluetooth in my new car.  Boy did I have a devil of a job to get the pad off the back of my phone.  However the supplier has now given me further advice that lightly heating the mounting on the phone with a hairdrier for a couple of minutes and then using very thin wire to remove it should do the trick.","16 Sep 2018","Colour Name: Black","","Yes","Aysedasi","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"it worked well for 1 month, then summer came","Hot weather made adhesive less sticky, and the pad at the back of my phone comes off! i have changed the pad (thanks for a spare) and it works fine for now.... the magnet is very strong indeed and hold phone in place. does anyone knows where can i get more sticky pads? also i have attached the pad to my phone case (since i have one of those annoying cases that it takes degree in engineering to take it off) so now i cannot use wireless charging....","07 Jul 2020","Colour Name: Black","","Yes","Mokr","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Works as expected","I attached the supplied metal disc to the inside of my smartphone silicone cover, so it sits between the smartphone and the cover, and it works perfectly, the magnetic power is more than enough to hold it in place, even withstanding a few bumps. I would advise some attention before purchasing this, if your car air vents are too loose they will not hold this.","01 Aug 2019","Colour Name: Black","","Yes","Hugo F.","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"What a simple, fantastic product","Wow, I cannot believe I've struggled on with other types of phone mount for years. This is so simple.  It slips onto the horizontal vent without marking or damaging it at all.  It stays put - totally.  I use a phone case, so the metal plate (supplied) has been slipped into the back of the phone/case.  I have not even bothered to attach the metal plate.  It holds the phone ABSOLUTELY firm and it sits almost flush to the vent - just avoiding the vent slider. Perfect","15 Jun 2020","Colour Name: Black","","Yes","anon","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Brilliant way to mount phone when driving","The magnet works perfectly, fixed to the air grill of the car.  It was easy to fix the thin round metal plate to the inside of my phone cover, so it is discreetly out of the way, and allows me to simply attach the phone to the car mount magnet, and remove it when I leave the car.  The magnet is strong, the phone stays in place, which is more than I can say for other (non-magnet) phone holders I have bought.  I would definitely recommend, and buy again.","11 Dec 2019","Colour Name: Black","","Yes","Michael Ryan","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"May be for some, but not for me unfortunately","The product feels like good quality however a few issues. Once I stuck the magnet on one side of my phone case, it is near impossible to remove. I would not recommend putting this directly on your phone unless you want to take a knife to it in order to remove when not in use. On top of that, it may have been the air con grill in my Mercedes, but it wouldn't stay up. So with the iPhone and YOSH weight together the phone would face the floor vs my eye line.","27 Sep 2019","Colour Name: Black","","Yes","Steve Boom","2.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Brilliant for larger phones","Wish I found this first, it would have saved me a great deal of money! I've used a few other magnetic-type car holders prior to purchasing this and I've had issues with movement, grip and durability. However, this product removes all three of those concerns. My phone doesn't budge an inch, it's tightly secured and there's no fear that it will jump off the moment I drive down our lovely uneven UK roads. The bonus for me is that this has more of a rubber feel to it. It's bulkier but there isn't a shiny, metallic surface on this. The other products have been the latter and my phone just seems to slip off these far too easily. I have a Google Pixel 2 XL and now I can safely say I have a phone holder that works!","18 Feb 2019","Colour Name: Black","","Yes","Darren Latimer","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Perfect for my large-ish OnePlus mobile which I use as a satnav","Perfect for my needs. I stuck the disc on the underside of my case rather than to my phone or the outside of the case. I attached the main part to my car vent and it was so easy to get in my car and just place the phone onto the holder to use as my satnav. My passengers are always impressed. The holder is easily taken off to use in someone's car as well if you are their passenger and your phone is being used as their satnav. It was very secure. However, one day I placed my phone onto the holder and my phone spun which was unusual. It was still quite usable i the right position though. After the journey I took the holder into my home to check it out and the holder was slightly coming apart. No idea what happened. Perhaps the heat over time from the car vent although I make sure there is no or very little heat, but I think I will always have the vents closed now. In any case, I had a lifetime warranty and very quickly a replacement was sent to me at no charge.","09 Jan 2020","Colour Name: Black","","Yes","Sarah","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Strong grip on the car & strong magnetic hold on the phone. But maybe a bit too strong!","The holder works well at gripping the vent & holding the phone in place. The magnet is so strong that one time I pulled my phone away & the rubber cover of the holder slid off attached to my phone leaving the metal clip exposed, still attached to the car air vent. Luckily it slipped back on but now when I remove my phone I have to kind of slide it off the mount instead of simply pulling it away as the rubber sheath will come away with it!","04 Jan 2021","Colour Name: Black","","Yes","Miss_Lovely","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"One problem solved but.....","Bought this to replace and older windscreen sucker mount. Read the reviews on this and thought this the way to go. Initially mounted the magnetic circle ( x 2 supplied ) inside the case, as guided in the instructions, however magnet not strong enough to hold phone so quickly removed and remounted on the outside...perfect. mounting device easy to install etc....less cluttered windscreen etc. However I like loads of people use a wireless charging doc and discovered that the magnet interferes with the signal so now have to remove case to allow operation. Love how technology solves one problem only to create another. As a mounting device 5 stars overall 3 stars.","05 Aug 2020","Colour Name: Black","","Yes","A. Swinburn","3.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"It’s good","I love this because it’s so small, barely visible  once attached to the air vents and took one second to attach. My iPhone Xs is seems to stick MOST of the time but sometimes it takes a minute for the magnets to recognise each other or my phone slides down (and the off) it. Maybe because I added the magnet under my phone case I’m not too sure. But overall I like it and recommend, just can’t give it the full five stars","22 Dec 2020","Colour Name: Black","","Yes","Odell","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Cheap and very useful","I like that the metal plate that you stick to your phone or case is really thin. I've attached mine inside the case and the only problem is that it stops my wireless charger from working - that's fine, I'll just take the case off when I charge my phone. The magnetic part is high quality, quite subtle in appearance, easy to attach to an air vent and holds really well. I think this product has been really well designed and is a bargain.","29 Oct 2020","Colour Name: Black","","Yes","Martin","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Not great for older cars with brittle vents","A great little device in some ways ; a strong magnet that works well; however the pinchy thing that fixes to your car air vents: forget it- if it’s like my car (about 18 years old) the vent plastic is not strong enough and it’s already snapped a couple of my vents into fragmented plastic bits! So BE CAREFUL if you have an older car with slightly more brittle plastic. It’s ok now- but only because I daren’t move it now (the other breakages happened when I was trying to adjust the position) If you have an older car- be warned and be gentle! Good, otherwise.","07 Dec 2018","Colour Name: Black","","Yes","CRLondon","3.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Probably the best money I've spent in a long time. Great product!","Arrived super fast and well packaged. From opening the packaging for this product to fitting it onto the car dash vent took approx. 5 minutes and works absolutely great. The fitting instructions were very clear and very brief. No in-depth explanation needed. Simply attach the non-magnetic adhesive metal disc provided to the back of your smart-phone, and attach the main magnetic holder onto a suitable air vent on the dashboard of your vehicle. That's it! You can now magnetically attach your smartphone to your vehicle dashboard using the very powerful magnetic mount. Note that the instruction manual says that the magnetic mount is not suitable for air vents with vertical slats. Alternatively, if your phone has a protective case, remove the phone from the case and attach the metal disc to the inside (or outside) of the case, then replace the phone back into the case. The phone will then be supported by the case, which in turn is being magnetically held in place. 2 adhesive metal discs are provided and according to online information, the magnetic mount has no adverse effects on your smartphone's operation. A very handy vehicle phone accessory.","10 May 2018","Colour Name: Black","","Yes","dozzle71","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"The only car phone holder you’ll ever need!","Absolutely brilliant little phone holder! I have a iPhone 8 Plus Which is big and it sticks to the holder securely, no chance of falling off. The holder comes simply in two parts, the base and the circle magnet that attaches by sticker to the back of your phone. (Box comes with 2 circle magnets so you have a spare) Simply clip the holder to your air vent and I personally put the thin circle which is the magnet inside my phone case, I haven’t stuck it on. You can also change the phone while on the holder.  Up and running in seconds! No hassle!","30 May 2020","Colour Name: Black","","Yes","Lisa","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Holds Devices Securely","I have been using this holder for a few weeks now before writing this review. The holder itself feels well made and grips tightly onto the vents in my car despite the roads/potholes best efforts. The metal plates that come with the holder are quite thin so its barely noticeable once attached but more importantly work well with the holder. So far my smart phone or sat nav havent moved at all despite the bumpy roads or the many pot holes. Overall i would highly recommend this phone holder if you are looking to buy one.","23 Mar 2018","Colour Name: Black","","Yes","Colin","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"better than any other phone holder I've tried","Works really well - better than any other phone holder I've tried Clip pushes into the vent and grips really well - of course you can't move the vent much when it's in but that's not a big issue for me Didn't thing it would stick well enough with the metal plate inside the phone case but it hasn't fallen off yet. Trick is to tilt the phone slightly left to stop the case flapping closed","30 Jan 2018","Colour Name: Black","","Yes","Mike Gould","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Perfect","I was concerned about buying this not sure if it would work for me but it does I have given it a good try out the past few weeks over bumps etc and not once has it come away from my heater grill or has my Samsung S8 fallen off, it holds firmly to the magnet.  I have a Hyundai I10 and although the grill is small this fits snuggly into it and stays put.  I attach my phone daily so I can listen to my audio books while driving and it does the job perfectly.  I attached the magnetic sticker to my phone case underneath my new outer case, I followed one of the reviewers advice and found it easy enough to do.  Love this item does just what it is supposed to do first class.","17 May 2018","Colour Name: Black","","Yes","minimoo","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Simple and practical","This is a nifty piece of gadget. I was looking for a replacement for my four-pronged magnetic air vent phone holder when I came across this. I must admit that it’s so far exceeded my expectations. The design is simple and installation is seamless and WILL NOT damage your car’s air vent unlike some other products.  I don’t like the idea of a clamp phone holder as it is restrictive. This phone holder is just the right size that you might miss it unless you look closely. I will see how the rubber responds to the heat in winter but I’m sure it won’t fall apart like previous product I’ve had.","30 Jun 2019","Colour Name: Black","","Yes","Misan","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Excellent.. better than others on the market.","Great little but strong magnet. I was a bit sceptical as ive ordered other phone magnets before and my phone has dropped off whilst driving but this one is fantastic. My phone doesn't fall off when driving even if I go over speed bumps or hit a pothole etc. Also I got the magnet stuck on one of my phone's and the customer service I received was excellent and the seller went out of his way to help. Highly recommended","20 Nov 2017","Colour Name: Black","","Yes","K Joanne","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Also the holder itself fits much better onto the air vent of my A3 than other ...","I use this with a Moto G4 which is quite a big phone and have had no problems at all. Done a load of miles and phone stayed solid as a rock.I haven't even had to stick the metal disc to the phone or phone case - just tucked it inside between the phone and case, it stays put and provides sufficient hold for the phone to stay very firmly on the magnet attached to the air vent. Also the holder itself fits much better onto the air vent of my A3 than other similar attachments on different holders so that's a real winner too. It's so convenient just to pull the phone off the magnet without fiddling around setting the phone up between the jaws of other holders. No affect on function of phone. It's a brilliant piece of kit.","26 Mar 2018","Colour Name: Black","","Yes","Patsy","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Would recommend as a means of keeping phone stable in the car","For the price, this was definitely one of my good decisions. My mum has a sort-of spider thing, where you sit your phone in it and bend the legs around your phone to keep it from falling out. This is a much, much smoother option. I think it works better if you're using a case, which I imagine most do. This is because you have to attach onto either the back of your phone or the inside of your case the black metal disc that is attracted to the magnet. If you've got a phone any other colour than black this would stand out a bit. It wouldn't be difficult to remove from your phone because you first put on a thin clear layer first, but I think wouldn't look ideal. Assuming you're using a case, just take it off your phone, stick the metal disc to the back (the side that touches the back of your phone) and put the case back on. I've not seen any difference in how the back of my phone feels and doubt you would too. The reason I've given this 4 instead of 5* is because it's not as difficult as maybe it ought to be to miss the sweet spot in the middle of the metal disc. If one accidentally presses your phone (maybe 'presses' is the wrong word because you only need to hold it against it for a moment) so only the top/side/bottom of the metal disc is contacting the magnet, the slightest force, such as from the car moving, can cause your phone to fall off. It's not difficult to check your phone is stable before you set off though, and this has only happened once or twice to me in the several weeks that I've had it. If you have a larger phone it might be worth holding the phone against the holder in situ to see whether you want to stick the metal disc towards the upper or lower of your case, maybe to aid visibility of the screen for sat nav or to avoid conflicting with other bits of the car. In summary, I would recommend this to friends and family and have done already. My mate was looking for something like this and hasn't been unhappy with her purchase either.","20 Dec 2018","Colour Name: Black","","Yes","Amazon Customer","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Can't believe i've spent the last few years using conventional phone holders","Friend recommended this, and since my old phone holder (Suction cup one with the extending arm) starting dying on me I decided to purchase this. Firstly at just £7 its a bargain, secondly a sheet thin magnet (provided obviously) means that mounting the phone to the holder is instant. the actual holder fits into any vent meaning its very convenient and sleek looking. No need to worry about the heat of the sun melting the glue on the conventional phone holders suction cup or adjusting the extendable arm and fitting the phone into the grabby things, just take your phone out, and put it against the holder and you're all set. Definitely recommend this","02 Nov 2020","Colour Name: Black","","Yes","zed132","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great wee Gadget for your car","Got this after seeing it in my daughters car. It is so simple but effective. I was so pleased with I bought it for my wife’s car and I have seen her using it (if you knew my wife you would realise why I said it was great that she was using it). The magnetic power in it is very strong and holds my phone in place throughout all journeys....it has never dropped the phone even on bumpy roads. So easy to install. I would thoroughly recommend it. Great wee gadget","06 Sep 2019","Colour Name: Black","","Yes","Jessejames","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Works really well.","I have to have two phones in the car( Works and personal). I have a traditional suction one on the windscreen, but no room for a second one( One has to see out to avoid the myriad hazards) Anyway I Googled vent mounted phone holder and came across the Yoshi, gave it a punt and have to say it works well. The magnet is pretty strong compared to others I have seen. I attached the metal plate to the phone body. Even through a plastic back cover it grips well...even when Knivelling speed bumps. The mount itself grips well on the vent. So far it has proven to be well worth the money.","06 Feb 2020","Colour Name: Black","","Yes","Jon","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Should have bought this sooner!","After going through a number of gooseneck phone holders that attach to my windscreen by suction, I got fed up with the constant breaking and replacing, and decided to get this. I wish I had done this a lot sooner. First, a clear sticker is applied to my silicone phone case. This acts as a surface for the round metal plate to adhere to. The glue on both the sticker and metal plate is really strong. The other part of the phone holder clips onto the aircon vent. I held my phone near the magnet and it just snapped into place and stayed throughout use. The magnet is strong so there is no way the phone could fall off during a car journey, but I could remove my phone with ease.","02 Jan 2021","Colour Name: Black","","Yes","Glyyde","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very handy little gadget, and replaced my clunky Kensington suction-pad-and-arm arrangement","Was sceptical as whether this would be effective, yet was fed up with the clunky suction-cupped holder on the windscreen (that falling off, especially when placing or removing the phone). At the price, it felt worth a punt: it was and very pleased. Sits very nicely (and firmly) in the vent (LR Freelander) and the magnet in the case keeps it properly attached, while not so strong so as to be a struggle to detach. God, simple item.","11 Aug 2020","Colour Name: Black","","Yes","London Reader","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Fantastic product and easy to use.","Fantastic product and easy to use.  I've previously bought a different make of this type of phone holder, but it didn't seem to hold on to the air vent quite as well as this one.  Also, my previous one had a white logo on it, which didn't look as sleek and discreet as this one, and this has a thinner piece of metal needed than my previous one.  In fact, even behind a case, this worked well with the metal disc dropped inside the case rather than being stuck to the outside.  Really pleased with it.  Time to buy another one for my other car...","14 Nov 2017","Colour Name: Black","","Yes","d1may","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
